Plate Number,Date,Time
_ .,2023-05-21,14:40:25
1172061433],2023-05-21,14:40:25
(HIZDE1433 |,2023-05-21,14:40:25
412061433),2023-05-21,14:40:25
4H12DE1433,2023-05-21,14:40:25
12061433),2023-05-21,14:40:25
1H12DE1433),2023-05-21,14:40:26
1H12DE1433,2023-05-21,14:40:26
1H12E1433)9,2023-05-21,14:40:26
1H120E1433),2023-05-21,14:40:26
HH12DE 1433),2023-05-21,14:40:26
HH 12DE 1433),2023-05-21,14:40:26
1H120E1433),2023-05-21,14:40:26
HH 12DE1433),2023-05-21,14:40:26
4H12DE1433),2023-05-21,14:40:27
HH120E1433},2023-05-21,14:40:27
MH 120E 1433),2023-05-21,14:40:27
1H120E1433)9,2023-05-21,14:40:27
4H12DE1433),2023-05-21,14:40:27
HHIZ0E1433),2023-05-21,14:40:27
1H120E1433),2023-05-21,14:40:27
HH12DE1433],2023-05-21,14:40:28
Bi hH12DE 1433,2023-05-21,14:40:28
WKH 120E1433,2023-05-21,14:40:28
WH 12061433,2023-05-21,14:40:28
ni 1206 1433,2023-05-21,14:40:28
Wri 12061433,2023-05-21,14:40:28
Bn 120e1432,2023-05-21,14:40:28
WH 12 DE 143:,2023-05-21,14:40:29
BH 120E1433,2023-05-21,14:40:29
BH 12061433,2023-05-21,14:40:29
MH12DE1433,2023-05-21,14:40:29
HH12DE1433),2023-05-21,14:40:29
HH12DE1433,2023-05-21,14:40:29
MH12DE1433,2023-05-21,14:40:29
TMH 12DE1433,2023-05-21,14:40:29
WH 120E1433,2023-05-21,14:40:30
1MH12DE1433,2023-05-21,14:40:30
MH12DE 1433,2023-05-21,14:40:30
WH12DE1433,2023-05-21,14:40:30
HH12DE1433],2023-05-21,14:40:30
MH12 DE1433),2023-05-21,14:40:30
WH12DE1433],2023-05-21,14:40:30
MH12DE1433,2023-05-21,14:40:30
{H1ZDE1433),2023-05-21,14:40:31
— 1433,2023-05-21,14:40:31
HH12DE1433],2023-05-21,14:40:31
433],2023-05-21,14:40:31
HH12DE1433],2023-05-21,14:40:31
WH12DE1433],2023-05-21,14:40:31
433],2023-05-21,14:40:31
MH12DE1433,2023-05-21,14:40:31
——,2023-05-21,14:40:32
MH12DE1433],2023-05-21,14:40:32
—_ 1433],2023-05-21,14:40:32
MA12DE 1433],2023-05-21,14:40:32
[HH 12061433,2023-05-21,14:40:32
WH120E1433),2023-05-21,14:40:32
H120E1433),2023-05-21,14:40:32
H12DE1433),2023-05-21,14:40:32
1H12DE1433),2023-05-21,14:40:33
1H120E1433),2023-05-21,14:40:33
H12DE1433§,2023-05-21,14:40:33
